DATE	TOTAL-TEST	TOTAL-CASE	TOTAL-DEAD	TOTAL-IC	TOTAL-INTUBATED		TOTAL-RECOVERED
12/03/2020	0	1	0	0	0	0
13/03/2020	0	5	0	0	0	0
14/03/2020	0	6	0	0	0	0
15/03/2020	0	18	0	0	0	0
16/03/2020	0	47	0	0	0	0
17/03/2020	0	98	1	0	0	0
18/03/2020	0	191	2	0	0	0
19/03/2020	0	359	4	0	0	0
20/03/2020	0	670	9	0	0	0
21/03/2020	0	947	21	0	0	0
22/03/2020	0	1236	30	0	0	0
23/03/2020	0	1529	37	0	0	0
24/03/2020	0	1872	44	0	0	0
25/03/2020	0	2433	59	0	0	0
26/03/2020	0	3629	75	0	0	0
27/03/2020	47823	5698	92	344	241	42
28/03/2020	55464	7402	108	445	309	70
29/03/2020	65446	9217	131	568	394	105
30/03/2020	76981	10827	168	725	523	162
31/03/2020	92403	13531	214	847	622	243
01/04/2020	106799	15679	277	979	692	333
02/04/2020	125556	18135	356	1101	783	415
03/04/2020	141716	20921	425	1251	867	484
04/04/2020	161380	23934	501	1311	909	786
05/04/2020	181445	27069	574	1381	935	1042
06/04/2020	202845	30217	649	1415	966	1326
07/04/2020	222868	34109	725	1474	987	1582
08/04/2020	247768	38226	812	1492	995	1846
09/04/2020	276338	42282	908	1552	1017	2142
10/04/2020	307210	47029	1006	1667	1062	2423
11/04/2020	340380	52167	1101	1626	1021	2965
12/04/2020	376100	56956	1198	1665	978	3446
13/04/2020	410556	61049	1296	1786	1063	3957
14/04/2020	443626	65111	1403	1809	1087	4799
15/04/2020	477716	69392	1518	1820	1052	5674
16/04/2020	518143	74193	1643	1854	1040	7089
17/04/2020	558413	78546	1769	1845	1014	8631
18/04/2020	598933	82329	1890	1894	1054	10453
19/04/2020	634277	86306	2017	1922	1031	11976
20/04/2020	673980	90980	2140	1909	1033	13430
21/04/2020	713409	95591	2259	1865	1006	14918
